,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2007-01-01 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-01-15 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-01-29 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-02-12 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-02-26 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-03-12 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-03-26 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-04-09 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-04-23 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-05-07 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-05-21 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-06-04 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-06-18 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-07-02 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-07-16 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-07-30 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-08-13 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-08-27 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-09-10 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-09-24 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-10-08 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-10-22 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-11-05 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-11-19 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-12-03 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-12-17 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2007-12-31 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2008-01-14 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2008-01-28 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2008-02-11 00:00:00,MMM,AA,MO,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T
2008-02-25 00:00:00,MMM,AA,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX
2008-03-10 00:00:00,MMM,AA,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX
2008-03-24 00:00:00,MMM,AA,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX
2008-04-07 00:00:00,MMM,AA,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX
2008-04-21 00:00:00,MMM,AA,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX
2008-05-05 00:00:00,MMM,AA,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX
2008-05-19 00:00:00,MMM,AA,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX
2008-06-02 00:00:00,MMM,AA,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX
2008-06-16 00:00:00,MMM,AA,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX
2008-06-30 00:00:00,MMM,AA,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX
2008-07-14 00:00:00,MMM,AA,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX
2008-07-28 00:00:00,MMM,AA,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX
2008-08-11 00:00:00,MMM,AA,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX
2008-08-25 00:00:00,MMM,AA,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX
2008-09-08 00:00:00,MMM,AA,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX
2008-09-22 00:00:00,MMM,AA,AXP,AIG,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX
2008-10-06 00:00:00,MMM,AA,AXP,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ
2008-10-20 00:00:00,MMM,AA,AXP,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ
2008-11-03 00:00:00,MMM,AA,AXP,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ
2008-11-17 00:00:00,MMM,AA,AXP,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ
2008-12-01 00:00:00,MMM,AA,AXP,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ
2008-12-15 00:00:00,MMM,AA,AXP,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ
2008-12-29 00:00:00,MMM,AA,AXP,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ
2009-01-12 00:00:00,MMM,AA,AXP,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ
2009-01-26 00:00:00,MMM,AA,AXP,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ
2009-02-09 00:00:00,MMM,AA,AXP,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ
2009-02-23 00:00:00,MMM,AA,AXP,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ
2009-03-09 00:00:00,MMM,AA,AXP,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ
2009-03-23 00:00:00,MMM,AA,AXP,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ
2009-04-06 00:00:00,MMM,AA,AXP,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ
2009-04-20 00:00:00,MMM,AA,AXP,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ
2009-05-04 00:00:00,MMM,AA,AXP,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ
2009-05-18 00:00:00,MMM,AA,AXP,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ
2009-06-01 00:00:00,MMM,AA,AXP,BA,CAT,C,KO,DD,XOM,GE,GM,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ
2009-06-15 00:00:00,MMM,AA,AXP,BA,CAT,KO,DD,XOM,GE,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ,CSCO,TRV
2009-06-29 00:00:00,MMM,AA,AXP,BA,CAT,KO,DD,XOM,GE,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ,CSCO,TRV
2009-07-13 00:00:00,MMM,AA,AXP,BA,CAT,KO,DD,XOM,GE,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ,CSCO,TRV
2009-07-27 00:00:00,MMM,AA,AXP,BA,CAT,KO,DD,XOM,GE,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ,CSCO,TRV
2009-08-10 00:00:00,MMM,AA,AXP,BA,CAT,KO,DD,XOM,GE,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ,CSCO,TRV
2009-08-24 00:00:00,MMM,AA,AXP,BA,CAT,KO,DD,XOM,GE,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ,CSCO,TRV
2009-09-07 00:00:00,MMM,AA,AXP,BA,CAT,KO,DD,XOM,GE,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ,CSCO,TRV
2009-09-21 00:00:00,MMM,AA,AXP,BA,CAT,KO,DD,XOM,GE,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ,CSCO,TRV
2009-10-05 00:00:00,MMM,AA,AXP,BA,CAT,KO,DD,XOM,GE,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ,CSCO,TRV
2009-10-19 00:00:00,MMM,AA,AXP,BA,CAT,KO,DD,XOM,GE,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ,CSCO,TRV
2009-11-02 00:00:00,MMM,AA,AXP,BA,CAT,KO,DD,XOM,GE,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ,CSCO,TRV
2009-11-16 00:00:00,MMM,AA,AXP,BA,CAT,KO,DD,XOM,GE,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ,CSCO,TRV
2009-11-30 00:00:00,MMM,AA,AXP,BA,CAT,KO,DD,XOM,GE,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ,CSCO,TRV
2009-12-14 00:00:00,MMM,AA,AXP,BA,CAT,KO,DD,XOM,GE,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ,CSCO,TRV
2009-12-28 00:00:00,MMM,AA,AXP,BA,CAT,KO,DD,XOM,GE,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ,CSCO,TRV
2010-01-11 00:00:00,MMM,AA,AXP,BA,CAT,KO,DD,XOM,GE,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ,CSCO,TRV
2010-01-25 00:00:00,MMM,AA,AXP,BA,CAT,KO,DD,XOM,GE,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ,CSCO,TRV
2010-02-08 00:00:00,MMM,AA,AXP,BA,CAT,KO,DD,XOM,GE,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ,CSCO,TRV
2010-02-22 00:00:00,MMM,AA,AXP,BA,CAT,KO,DD,XOM,GE,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ,CSCO,TRV
2010-03-08 00:00:00,MMM,AA,AXP,BA,CAT,KO,DD,XOM,GE,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ,CSCO,TRV
2010-03-22 00:00:00,MMM,AA,AXP,BA,CAT,KO,DD,XOM,GE,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,RTX,VZ,WMT,DIS,T,BAC,CVX,MDLZ,CSCO,TRV
